id,impressions,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50_plus,gender_male,gender_female,reason
yQxBHvzszZg,30,0.0,0.0,0.05,0.2,0.35,0.4,0.2,0.8,"This video is likely targeted towards an older audience, particularly those in the 40s and 50s age groups, as it deals with caregiving and health management topics often relevant to middle-aged and older adults. The higher likelihood of a female audience reflects the traditional association of caregiving roles with women."
MYq-2vEeCQg,10,0.1,0.3,0.4,0.15,0.05,0.0,0.5,0.5,"This video appears to be centered around music, which typically attracts a younger demographic, particularly those in their teens and twenties. The balanced gender distribution suggests that music appeals broadly to both males and females without a specific gender bias."
mLN-P8synm8,70,0.01,0.05,0.25,0.35,0.25,0.09,0.7,0.3,"This video focuses on golf equipment and techniques, which typically attracts an audience interested in golf, often skewing towards older age groups. Additionally, golf is traditionally more popular among men, which might explain the higher male viewer prediction."
w2maLgV-jkU,69,0.0,0.05,0.2,0.35,0.25,0.15,0.3,0.7,"This video is centered around cooking and food tasting, which often appeals to a broad audience, but particularly to adults who enjoy culinary experiences. The social, casual setting and emphasis on taste sensations are more likely to attract a female audience who engage with lifestyle and food content."
xRDmS-XdVSc,10,0.0,0.1,0.4,0.4,0.1,0.0,0.7,0.3,"This video has a travel vlog style, discussing experiences and adventures in Phuket, which typically attracts young adults. The humor and adventurous elements along with nightlife descriptions are more appealing to a male audience, likely skewing the gender distribution."
NuW0W7wyBsc,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exception
JhBA2y7MRCw,16,0.0,0.1,0.4,0.35,0.1,0.05,0.2,0.8,"This video likely appeals to a primarily female audience interested in drama and romance narratives, as evidenced by the focus on relationships and personal dynamics. Additionally, the content seems to resonate with younger adults in their 20s and 30s, who are generally more engaged with these themes."
33bqAwfLQis,12,0.01,0.05,0.1,0.2,0.3,0.34,0.3,0.7,"This video appeals to older audiences due to its focus on rural and traditional lifestyles, which resonate more with viewers in their 40s and 50s. The nurturing and cooking elements are likely to attract a female audience who might find these themes more engaging."
OxKJT6f60YM,28,0.0,0.1,0.4,0.35,0.1,0.05,0.2,0.8,"This video focuses heavily on diet and weight loss, topics that are often popular among young women in their 20s and 30s. The conversational and lifestyle-oriented format appeals to a predominantly female audience interested in personal fitness and health management."
TD5Wzc35ZMM,32,0.05,0.7,0.2,0.03,0.01,0.01,0.5,0.5,"This video seems to feature casual and playful interactions, which are often appealing to teenagers and young adults. The ambiguous and light-hearted content suggests equal interest from both male and female viewers."
39oIAWfalnw,18,0.05,0.3,0.4,0.15,0.07,0.03,0.7,0.3,"This video focuses on athletic challenges and features attractive, athletic individuals, which generally appeals to younger audiences and particularly young men. The emphasis on sports, physical prowess, and models suggests a higher male viewership, while the youthful energy aligns with a 10-30 age range."
9ElYzRTn_qs,14,0.0,0.1,0.15,0.25,0.3,0.2,0.3,0.7,"This video focuses on a traditional cooking method, which likely appeals to older adults who are interested in cooking and home-making. The content also suggests a higher female audience as cooking tutorials often attract more women."
_4oiHk6zN0U,13,0.0,0.05,0.15,0.3,0.3,0.2,0.2,0.8,"This video caters to topics like family dynamics, motherhood, and in-law relationships, which resonate more with middle-aged women. The emotional narrative and relatable family issues are likely to attract primarily female viewers in their 30s and 40s."
0y4_b9D4TKs,12,0.05,0.25,0.4,0.2,0.06,0.04,0.35,0.65,"This video seems to have a casual, conversational tone with references to everyday situations and possibly humor, which aligns with the interests of younger audiences, particularly those in their 20s. The content also has elements that might appeal more to females, such as the social interactions and lighthearted narrative style."
2Gp1zMVoTwQ,11,0.0,0.05,0.3,0.4,0.2,0.05,0.3,0.7,"This video is likely to appeal to parents, especially mothers, who are interested in improving communication with their children. The focus on parenting strategies and educational insights aligns with the interests of adults in their 30s and 40s."
Fe5D3m79-js,18,0.0,0.1,0.3,0.4,0.15,0.05,0.6,0.4,"This video focuses on travel and real estate developments, which typically attract viewers in their 20s to 30s interested in such topics. Additionally, the video's analytical approach and focus on investment may appeal more to a male audience."
f49Vye61Pf0,10,0.0,0.05,0.25,0.35,0.25,0.1,0.3,0.7,"This video deals with complex family dynamics and personal relationships, appealing more to adults, particularly those in their 30s and 40s. The themes of marriage, family expectations, and personal struggles resonate more with a female audience who might find these narratives relatable."
YrtoeyGL9zo,10,0.05,0.1,0.2,0.3,0.25,0.1,0.4,0.6,"This video features emotional and nostalgic themes expressed through music and poetry, appealing to an audience with a mature understanding. Such themes tend to resonate more with women, particularly those in their mid-20s to 40s, who may find personal or emotional connections with the content."
AJGnP0ZNMLs,8,0.0,0.0,0.1,0.3,0.4,0.2,0.3,0.7,"This video appeals to viewers interested in peaceful rural life and family relationships, which are more commonly appreciated by middle-aged and older adults. The focus on nature, traditional living, and small community charm tends to attract more female viewers who are often drawn to lifestyle and family-oriented content."
IEaiyyr9Mxo,7,0.05,0.5,0.3,0.1,0.03,0.02,0.4,0.6,"This video focuses on ghost stories and myths, which are typically appealing to teenagers and young adults due to their interest in the supernatural and horror-themed entertainment. The content seems to be narrated in a way that is slightly more engaging for a younger audience and includes references that align with female viewership interests."
WqS7fSi9rR4,5,0.0,0.1,0.4,0.3,0.15,0.05,0.1,0.9,"This video focuses on facial exercises and beauty routines, which typically attract a predominantly female audience interested in beauty and self-care. The content is likely to appeal more to young adults and middle-aged women who are conscious of their appearance."
-kbf5FixN28,5,0.0,0.05,0.15,0.35,0.3,0.15,0.3,0.7,"This video likely appeals to viewers interested in cooking and kitchen tips, which are typically popular among women. The detailed recipe and cooking tips suggest a viewership mainly comprising adults and middle-aged individuals, who may have a more established interest in cooking."
rKvyW9YN1k8,5,0.05,0.1,0.15,0.25,0.3,0.15,0.4,0.6,"This video seems to attract viewers interested in musical performances and personal stories, which are typical among those aged 30 to 50. The emotional and personal nature of the content is likely to resonate more with a female audience."
RDHBu7zwl6c,21,0.0,0.8,0.15,0.05,0.0,0.0,0.3,0.7,"This video appears to have a playful and energetic tone with references to music and games, which are typically appealing to teenagers. Moreover, the chaotic and humorous style seems to resonate more with a younger female audience, who are often enthusiastic consumers of such content."
MQrNsDJ8J6A,5,0.01,0.15,0.5,0.25,0.07,0.02,0.4,0.6,"This video likely appeals to young adults and those in their early 30s due to its themes of love, memories, and emotional moments, which resonate with their life experiences. The content's poetic and sentimental nature may attract more female viewers, reflecting the softer narrative style."
2lIRfoSxwOo,5,0.01,0.05,0.15,0.3,0.3,0.19,0.2,0.8,"This video likely attracts a female audience due to the emphasis on personalized gifts and community interaction, which are traditionally of higher interest to women. The age distribution suggests viewers mostly in their 30s and 40s, as these segments are more likely to engage with community-driven content and fan culture."
xVAH4EYA2EU,5,0.05,0.3,0.4,0.15,0.05,0.05,0.75,0.25,"This video appeals mainly to younger audiences who are fans of LEGO and Ninjago, with a strong focus on character analysis and product reviews. The male demographic is likely more interested due to the action-oriented and collectible nature of the content, typical of LEGO Ninjago enthusiasts."
-JDyNPmoKug,5,0.1,0.7,0.15,0.05,0.0,0.0,0.2,0.8,"This video appeals to a younger audience due to its playful and whimsical nature with fantasy elements, which are common interests among teenagers. The focus on cute characters and a storyline that mimics a game-like scenario likely attracts a predominantly female audience."
GYDX4GQtwNU,4,0.05,0.35,0.4,0.15,0.03,0.02,0.3,0.7,"This video features a playful and challenging food-related game, which is likely to appeal more to younger audiences, particularly teenagers and those in their twenties. The casual, chatty style and focus on fun and entertainment suggest it may attract a predominantly female viewership."
yBr67swjQxw,4,0.0,0.05,0.1,0.35,0.4,0.1,0.3,0.7,"This video primarily appeals to individuals interested in succulents and home gardening, which is more popular among women. The detailed discussion about plant characteristics and prices suggests an audience mostly in their 30s and 40s, who are likely to have the space and resources for gardening."
fcnUduiHlAI,3,0.05,0.4,0.35,0.15,0.03,0.02,0.7,0.3,"This video seems to appeal to a younger audience, particularly teenagers and young adults, due to its energetic and music-driven style. The presence of frequent references to gaming and modern pop culture suggests a likely higher male viewership."
sI5xdTncp44,3,0.0,0.05,0.1,0.1,0.25,0.5,0.2,0.8,"This video is likely to attract an older female audience due to its focus on family dynamics and personal struggles during middle age, which resonate more with mature viewers. The narrative reflects experiences such as menopause and family responsibilities, topics commonly discussed and shared among women in their 40s and 50s."
bMxCATC4GG0,2,0.0,0.1,0.2,0.4,0.2,0.1,0.4,0.6,"This video appears to involve complex interpersonal dynamics and emotional dialogue, which is typically of interest to adults, particularly in their 30s and 40s. The dramatic and relational content is more likely to resonate with a female audience, who often show more interest in character-driven narratives."
7AaIUG57KPU,2,0.05,0.7,0.2,0.03,0.01,0.01,0.4,0.6,"This video features a playful and comedic style with a focus on school life and youthful interactions, which likely appeals to teenagers who can relate to the themes of peer dynamics and humor. The presence of popular culture references and elements of school competitions may also attract young adults, while the tone and language used are likely to resonate more with a female audience."
vIrVCmYBpLE,1,0.0,0.2,0.6,0.15,0.025,0.025,0.8,0.2,"This video has elements of action, fantasy, and martial arts which are highly appealing to younger audiences, particularly males. The storyline and themes align with interests commonly found among viewers in their 20s, who often engage with such content."
r-Mdb8qgcMc,1,0.0,0.0,0.1,0.3,0.3,0.3,0.3,0.7,"This video is focused on traditional cooking techniques and recipes, which are typically more appealing to older age groups who might have more interest in cooking and cultural food preparation. Additionally, cooking content often attracts a predominantly female audience."
pCoO7Sh_d8g,1,0.01,0.02,0.05,0.22,0.3,0.4,0.3,0.7,"This video seems to focus on fashion and jewelry shopping, which might appeal more to women. The discussion about clothing sizes and styles suggests a target audience of middle-aged to older adults, likely those who are more fashion-conscious and have disposable income."
3RA43nx1k2g,1,0.0,0.05,0.1,0.35,0.3,0.2,0.4,0.6,"This video likely appeals to viewers interested in gardening, which often includes adults in their 30s and 40s. The focus on tomato cultivation might attract more female viewers who are generally more engaged in home gardening content."
RNauREu11_I,1,0.0,0.05,0.1,0.25,0.3,0.3,0.35,0.65,"This video is focused on plant care and gardening, which typically attracts an older audience as they tend to have more time and interest in such hobbies. Additionally, the detailed care instructions and gardening tips are likelier to appeal to females who traditionally show more interest in home gardening."
dM5oS_mNoTM,1,0.1,0.2,0.4,0.2,0.05,0.05,0.5,0.5,"This video is likely a music-focused content which generally attracts a diverse age group, but primarily the young adults who are most engaged with music platforms. The gender distribution is assumed to be equal since music can appeal to both males and females broadly."
M-gKZnWBbsk,1,0.05,0.15,0.25,0.3,0.15,0.1,0.4,0.6,"This video is centered around singing and love themes, which tend to attract a younger audience, specifically those in their 20s and 30s who relate to these topics. The interactive and lively nature of the video may appeal slightly more to female viewers who often engage more with musical and emotional content."
Op1dCYQbzUU,1,0.02,0.15,0.35,0.25,0.15,0.08,0.7,0.3,"This video focuses on themes of historical battles and heroics, which typically attract a younger to middle-aged male audience. The narrative style and action-centric content resonate with viewers who enjoy epic tales and military strategy."
wld4Vr-wMts,1,0.05,0.4,0.35,0.15,0.03,0.02,0.3,0.7,"This video likely appeals to a younger audience due to its repetitive, music-heavy nature and minimal dialogue, which is more engaging for teens and young adults. The higher female viewership could be attributed to the emotional and artistic style of the content, which generally resonates more with women."
pa5Sysat5YU,1,0.0,0.1,0.7,0.15,0.05,0.0,0.3,0.7,"This video contains themes of longing and excitement, often found in content that appeals to young adults. The emotional and romantic elements suggest it may resonate more with a female audience."
eMj72hpXnzI,1,0.0,0.05,0.1,0.3,0.4,0.15,0.7,0.3,"This video appears to focus on agricultural practices and technical discussions about plant care, which are likely of interest to older adults who are engaged in farming or gardening. The conversational style and content suggest it is more appealing to men, possibly those involved in the agricultural industry."
rsoqnoXTgnw,1,0.0,0.05,0.15,0.2,0.25,0.35,0.4,0.6,"This video seems to appeal more to older audiences due to its reflective and philosophical themes about life. The inclusion of music and applause suggests it might be relatable to audiences who appreciate traditional or sentimental content, which could be more appealing to females."
ZEo3N5AtjaI,1,0.0,0.05,0.2,0.35,0.25,0.15,0.2,0.8,"This video is centered around plant care, a hobby often associated with adults, particularly those in their 30s to 50s. Additionally, the conversational style and detailed plant descriptions are likely to appeal more to a female audience."
es1OcVb9VcM,1,0.1,0.6,0.2,0.05,0.03,0.02,0.3,0.7,"This video features a fantasy and playful theme with elements of royalty and magic, which tend to attract a younger audience, particularly teenagers. The content and style also suggest a higher interest among female viewers, likely due to the princess and romantic narrative elements."
suSACOHY1JQ,1,0.05,0.15,0.6,0.15,0.04,0.01,0.3,0.7,"This video appears to focus on romantic and interpersonal themes, which tend to attract a younger, predominantly female audience. The complexity of personal relationships and the emotional content are likely to resonate more with viewers in their 20s."
PGQvgr9W6oE,1,0.05,0.1,0.15,0.3,0.25,0.15,0.4,0.6,"This video features sentimental and reflective lyrics, which may appeal more to adults, especially those in their 30s and 40s, who can relate to themes of nostalgia and past experiences. The presence of both upbeat and emotional tones might attract a slightly higher female audience, as such content often resonates with women."
q4Lee6LJ1l0,1,0.0,0.05,0.15,0.25,0.3,0.25,0.7,0.3,"This video likely attracts an older audience interested in gardening and plant propagation. The technical content and detailed gardening techniques are more appealing to men, who are often more engaged in horticultural activities."
s8G-loerHXE,1,0.0,0.05,0.2,0.4,0.25,0.1,0.7,0.3,"This video focuses on real estate auction strategies, which are generally more relevant to adults, particularly those in their 30s and 40s who are more likely to invest in property. The video's detailed content and financial analysis are likely to appeal more to a male audience who traditionally dominate the real estate investment field."
v9Wya-YWu-c,1,0.0,0.05,0.1,0.15,0.3,0.4,0.7,0.3,"This video is likely to attract older viewers, particularly those in their 40s and above, due to its focus on traditional and regional food items, which is a topic of interest to many older individuals. The content also appears to be more appealing to men, possibly due to the rustic nature of the topic and the style of presentation."
rXe5CP7wJJE,1,0.0,0.05,0.15,0.35,0.3,0.15,0.25,0.75,"This video focuses on personal stories and market life, likely appealing to an older audience, mainly in their 30s and 40s. The theme and narrative style may resonate more with women, as it involves emotional connections and family dynamics."
LSSMScxz5Qg,1,0.0,0.05,0.35,0.4,0.15,0.05,0.3,0.7,"This video likely appeals to individuals interested in traditional Korean culture and DIY projects, which are topics often appreciated by women and adults in their 20s and 30s. The emphasis on tradition and craftsmanship may also attract a slightly older audience, but the content's engaging presentation aligns more closely with younger adult viewers."
0APSq2bs_so,1,0.0,0.05,0.3,0.4,0.2,0.05,0.6,0.4,"This video discusses topics related to psychology, cognitive biases, and decision-making, which tend to appeal to young to middle-aged adults who are interested in self-improvement and understanding human behavior. The analytical and somewhat academic nature of the content may attract more male viewers who are interested in science and rational thinking."
jLLgmTA5MPU,1,0.0,0.05,0.15,0.25,0.3,0.25,0.4,0.6,"This video is likely to appeal to adults, particularly those aged 30 and above, due to its nostalgic themes and cultural references. The conversational style and topics suggest a higher interest among women, who may find the content more relatable."
uDSN44EXCPk,1,0.0,0.05,0.1,0.3,0.4,0.15,0.3,0.7,"This video is likely to attract viewers interested in gardening and plant care, which is a hobby more commonly pursued by adults, particularly in their 30s and 40s. The detailed and methodical explanation appeals more to women, who often engage in detailed DIY and home improvement projects."
LhOV8I4lizg,1,0.05,0.1,0.15,0.25,0.3,0.15,0.5,0.5,"This video seems to be a traditional or classic music theme, which tends to attract a more mature audience. The balanced gender prediction indicates that both men and women might have equal interest in this type of content."
EtXHugH_Q_k,1,0.0,0.05,0.15,0.6,0.15,0.05,0.1,0.9,"This video focuses on MUJI products and everyday life tips, which are likely to appeal to homemakers and individuals interested in home aesthetics. The content's tone and subject matter suggest a primary audience of women in their 30s who might be managing households or interested in lifestyle content."
9aFnWluDfNw,1,0.0,0.05,0.15,0.25,0.3,0.25,0.4,0.6,"This video likely appeals to adults interested in Korean trot music and traditional values, which are themes appreciated by an older demographic. The content's nostalgic and sentimental elements suggest that women, who often engage more with emotional storytelling, might be particularly engaged."
d779rRtezOc,1,0.05,0.3,0.45,0.15,0.03,0.02,0.4,0.6,"This video showcases playful and comedic role-plays between parents and children, likely appealing to young adults who are familiar with or interested in parenting dynamics. The humorous and lighthearted tone might also attract a slightly more female audience who may find the content relatable or entertaining."
dcMZ-KW_29k,1,0.05,0.1,0.15,0.3,0.25,0.15,0.4,0.6,"This video is about a popular Korean trot audition program, which is likely to attract viewers who are interested in traditional music genres. The content has a broad age appeal but skews slightly towards females, as they are often more engaged in reality and audition shows."
NZLuacSEutU,1,0.0,0.05,0.15,0.2,0.3,0.3,0.7,0.3,"This video showcases a detailed review of traditional Korean dish, which is likely to appeal to middle-aged and older viewers. The casual and conversational tone, along with the focus on food quality and traditional cooking, suggests a higher male audience interested in culinary experiences."
MIIHdc-IaMc,1,0.0,0.1,0.3,0.4,0.15,0.05,0.3,0.7,"This video discusses Carl Jung's psychological theories and astrology, which are topics that tend to attract viewers interested in self-development and psychology. These interests are typically more prevalent among women and adults in their 20s to 40s, seeking deeper understanding of personality and life journeys."
Dy5xAqn6E2g,1,0.05,0.35,0.4,0.15,0.03,0.02,0.7,0.3,"This video features a DIY project with a giant jelly Coca-Cola bottle, which appeals to younger audiences who enjoy creative and experimental content. The technical and detailed nature of the project, along with its novelty, is likely to attract more teenage and young adult male viewers interested in science and cooking experiments."
M3TLHqtqkqc,1,0.2,0.3,0.25,0.15,0.05,0.05,0.5,0.5,This video appears to be a music or sound-based content with no discernible dialogue or narrative. Such content may appeal to a younger audience and is likely to attract both male and female viewers equally.
5SBNu2ed4j4,1,0.0,0.05,0.15,0.3,0.3,0.2,0.4,0.6,"This video discusses deep topics such as spiritual awakening, the purpose of the universe, and aging, which are likely to resonate with an older audience, particularly those in their 30s and 40s. The themes of personal growth and self-discovery are more commonly explored by women, leading to a slightly higher female viewership."
xmurH5oiPjU,1,0.1,0.2,0.4,0.2,0.05,0.05,0.4,0.6,"This video likely appeals to younger audiences, especially those in their 20s, due to its focus on contemporary trends and music. The slightly higher female viewership may indicate themes or styles that resonate more with women."
Fw1EevIl8hY,1,0.1,0.2,0.4,0.2,0.05,0.05,0.5,0.5,"This video likely appeals to a broad audience due to its general theme related to cultural or social topics, potentially engaging young adults and adults alike. The balanced gender distribution suggests universal interest."
ukujbWR5W_w,1,0.0,0.05,0.1,0.5,0.25,0.1,0.6,0.4,"This video discusses legal and financial aspects of real estate, which tends to attract an audience with vested interests in property and investments, typically aged 30-40s. The topic might slightly appeal more to men, who often dominate the real estate investment sector."
WfgKhZnNg0Q,1,0.0,0.2,0.5,0.25,0.05,0.0,0.2,0.8,"This video features a casual and personal style of mukbang content, which is highly appealing to young adults, particularly those in their 20s and 30s. The emphasis on trendy food choices like mala and casual dining experiences suggests a predominantly female audience interested in culinary exploration."
H3ooSfKM9uY,1,0.05,0.6,0.3,0.05,0.0,0.0,0.2,0.8,"This video features a romantic narrative with emotional elements, commonly appealing to teenage and young adult audiences, especially females. The storyline's focus on personal relationships and love confessions aligns with interests typically seen in younger female demographics."
8BkilSrkrY0,1,0.0,0.1,0.3,0.4,0.15,0.05,0.8,0.2,"This video is likely to attract a male audience due to its informal and conversational style that discusses alcohol and local social issues, which resonates more with adult males. The content seems to be targeted towards adults in their 20s and 30s who are interested in regional humor and cultural references."
XyEjJo_n3eQ,1,0.0,0.05,0.1,0.25,0.35,0.25,0.7,0.3,"This video likely appeals to older audiences interested in rural life and architecture, which is more common among those aged 30 and above. The content and exploration of old houses suggest a male-dominated interest, possibly due to the technical nature of the building and renovation discussions."
SwNmdPYA5TI,1,0.0,0.5,0.4,0.1,0.0,0.0,0.2,0.8,This video is likely appealing to a younger audience due to its informal tone and focus on trendy fashion items like bags. The emphasis on relatable sibling dynamics and casual product reviews suggests it is aimed more towards a female demographic.
b1O2BJhtAXQ,1,0.05,0.15,0.5,0.2,0.05,0.05,0.3,0.7,"This video likely appeals to younger audiences due to its casual and humorous style, as well as its focus on daily life and pets. The presence of cute animals and a relatable storytelling approach may also resonate more with female viewers."
8cuRHnMOb24,1,0.0,0.05,0.15,0.35,0.3,0.15,0.2,0.8,"This video focuses on traditional Korean cooking techniques and ingredients, which often appeal to a more mature audience interested in culinary arts. The content's depth and focus on cooking specifics suggest a higher interest among middle-aged women who are likely to cook for families."
Dv4AdtjcB04,1,0.6,0.3,0.05,0.03,0.01,0.01,0.4,0.6,"This video likely appeals to younger children due to its animated characters and playful storyline involving Hello Kitty and friends. The content seems designed for a young female audience, given the focus on crafting, adventure, and fantasy elements."
dF_d4G559Rg,1,0.05,0.15,0.35,0.25,0.15,0.05,0.4,0.6,"This video is likely a music video with themes of love, life, and introspection, which tend to resonate more with young adults and adults. The emotional and introspective nature of the lyrics may appeal more to a female audience."
qppmHwt4nC8,1,0.05,0.7,0.2,0.03,0.01,0.01,0.4,0.6,"This video is likely to attract teenagers and young adults interested in music and performance, given its high school setting and focus on a musical ensemble. The playful and humorous interactions between characters may also appeal more to a younger female audience."
lXJ0ngdOklg,1,0.0,0.6,0.3,0.1,0.0,0.0,0.8,0.2,"This video features elements typical of anime and fantasy genres, which are particularly popular among teenagers and young adults. The focus on action, adventure, and fantasy themes likely appeals more to a male audience."
H7xXHTQ-0tc,1,0.0,0.2,0.5,0.25,0.05,0.0,0.6,0.4,"This video likely appeals to a younger audience, particularly those in their 20s and 30s, due to its casual conversation style and discussion of contemporary lifestyle topics. The content appears slightly more appealing to males as it involves topics like alcohol and travel, which may resonate more with them."
gpZAyE5pQs8,1,0.0,0.1,0.2,0.3,0.3,0.1,0.4,0.6,This video likely appeals to women in their 30s and 40s who are interested in crime dramas and psychological thrillers. The presence of complex narratives and character development may also engage those who enjoy storytelling and mystery.
SweUozY6sz8,1,0.01,0.1,0.15,0.3,0.25,0.19,0.4,0.6,"This video focuses on the health benefits of green tea, which is a topic that appeals to middle-aged and older adults who are more health-conscious. Additionally, the detailed explanation of green tea's effects and how to consume it may attract a slightly higher female audience, as women are often more interested in health and wellness topics."
yztHGLTmqOw,1,0.05,0.15,0.25,0.3,0.15,0.1,0.6,0.4,"This video seems to have a nostalgic and contemplative theme related to travel and emotions, which might resonate more with young adults and middle-aged viewers. The poetic and somewhat romantic nature might appeal slightly more to male audiences who are interested in maritime or travel-related content."
Ahixx05UYds,1,0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.6,"This video features themes of loneliness, rural life, and romance, which are likely to appeal to older audiences who may relate to these life experiences. Additionally, the storytelling style and character dynamics suggest a stronger appeal to women who might find the narrative more emotionally engaging."
u_Rr_ob5ACg,1,0.1,0.4,0.3,0.1,0.05,0.05,0.2,0.8,"This video focuses on cute, character-themed cosmetics which are popular among younger audiences, especially teenagers and women in their 20s. The playful and colorful presentation likely appeals more to a female audience who have a fondness for the featured characters."
7xgN1a8udW4,1,0.01,0.15,0.35,0.3,0.15,0.04,0.45,0.55,This video focuses on teaching basic English sentences which is likely to attract young adults who are interested in learning languages. The higher female viewership may be due to a general trend where language-related content tends to attract more female audiences.
o5YYN8QKlZ4,1,0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.6,This video contains traditional and sentimental music which is likely to appeal to older generations who have nostalgia for the past. The emotional themes and nostalgic music can attract more female viewers who are often drawn to sentimental content.
PWe4DxY-5Ps,21,0.0,0.1,0.3,0.4,0.15,0.05,0.4,0.6,"This video appeals to adults interested in camping and gourmet experiences, a common interest among those in their 20s and 30s. Additionally, the focus on traditional Korean drinks and the atmosphere suggests a slightly higher appeal to female viewers."
ACs-ac7RHNA,25,0.0,0.0,0.1,0.3,0.4,0.2,0.1,0.9,"This video focuses on traditional cooking techniques and ingredients that promote health, which likely appeals to older audiences. Additionally, the detailed explanation of recipes and health benefits suggests a female-dominated viewership interested in family health and wellness."
sMbeZE9ghgc,26,0.0,0.05,0.1,0.2,0.3,0.35,0.3,0.7,"This video focuses on obesity and diabetes, which are health concerns more relevant to adults over 30, especially those in their 40s and 50s. The content may resonate more with women who are generally more concerned about health and wellness topics."
EjjaEtWd4Tg,26,0.05,0.35,0.45,0.1,0.03,0.02,0.3,0.7,"This video seems to be oriented towards younger audiences, primarily teenagers and those in their twenties, due to its lively and informal style. The playful and conversational tone is likely to attract a predominantly female audience."
